path,detector,facial_landmarker,landmarks,time,face_boxes
my_images\3.jpg,haar_cascade,dlib_facial_landmark,"[(203, 101), (201, 110), (200, 119), (200, 129), (203, 138), (209, 144), (217, 150), (225, 154), (234, 157), (241, 157), (247, 154), (252, 149), (256, 144), (260, 139), (262, 132), (264, 126), (265, 120), (219, 99), (226, 97), (233, 97), (239, 99), (246, 103), (253, 106), (258, 105), (262, 106), (266, 108), (267, 111), (248, 111), (248, 116), (248, 120), (247, 124), (236, 127), (240, 129), (243, 131), (246, 131), (249, 130), (225, 109), (230, 109), (234, 110), (236, 111), (233, 112), (229, 111), (251, 115), (255, 116), (258, 117), (261, 118), (257, 119), (254, 118), (228, 137), (233, 135), (238, 136), (241, 137), (244, 137), (246, 139), (248, 142), (245, 143), (242, 143), (239, 142), (236, 142), (232, 140), (230, 137), (238, 138), (240, 139), (243, 140), (246, 142), (243, 139), (240, 139), (237, 138)]",0.0029926300048828125,"[(203, 77, 82, 82), (243, 517, 89, 89)]"
my_images\3.jpg,haar_cascade,cnn_facial_landmark,"[(211, 103), (210, 112), (208, 121), (208, 130), (210, 138), (214, 145), (220, 152), (227, 157), (234, 159), (242, 159), (249, 156), (256, 152), (262, 146), (266, 140), (269, 133), (272, 126), (274, 119), (221, 100), (226, 97), (233, 97), (238, 99), (244, 102), (254, 105), (259, 104), (265, 104), (269, 107), (272, 110), (247, 110), (246, 115), (246, 120), (245, 125), (237, 127), (240, 129), (243, 130), (246, 131), (248, 130), (226, 108), (230, 108), (234, 109), (237, 110), (234, 110), (230, 110), (253, 114), (257, 114), (261, 115), (263, 117), (260, 117), (257, 116), (227, 136), (233, 134), (238, 134), (240, 135), (244, 136), (247, 138), (250, 141), (245, 144), (241, 144), (238, 144), (235, 143), (231, 141), (229, 136), (237, 137), (240, 138), (243, 138), (248, 141), (242, 140), (239, 140), (236, 139)]",0.02792525291442871,"[(203, 77, 82, 82), (243, 517, 89, 89)]"
my_images\3.jpg,dlib_hog_based,dlib_facial_landmark,"[(204, 101), (202, 110), (201, 120), (201, 129), (203, 138), (209, 144), (217, 150), (225, 154), (233, 156), (241, 156), (247, 153), (252, 149), (256, 144), (259, 138), (262, 132), (263, 126), (265, 120), (219, 99), (226, 97), (233, 97), (239, 100), (245, 103), (253, 106), (258, 105), (261, 106), (264, 108), (265, 112), (248, 111), (248, 115), (247, 119), (247, 124), (236, 127), (240, 129), (243, 130), (246, 130), (249, 130), (225, 108), (229, 109), (233, 110), (236, 111), (232, 111), (228, 111), (251, 115), (255, 116), (258, 118), (260, 119), (257, 119), (254, 118), (228, 137), (234, 136), (238, 136), (241, 137), (244, 137), (246, 140), (248, 142), (244, 143), (242, 143), (239, 143), (236, 142), (232, 140), (230, 137), (237, 139), (240, 140), (243, 140), (246, 142), (243, 139), (240, 139), (237, 138)]",0.0020253658294677734,"[(204, 80, 74, 75)]"
my_images\3.jpg,dlib_hog_based,cnn_facial_landmark,"[(209, 103), (207, 112), (206, 120), (206, 129), (207, 137), (212, 144), (219, 150), (226, 155), (234, 157), (242, 157), (248, 155), (255, 151), (260, 146), (264, 140), (267, 134), (269, 128), (271, 121), (221, 100), (226, 98), (233, 98), (239, 100), (244, 103), (254, 106), (259, 106), (264, 107), (268, 109), (271, 113), (248, 111), (247, 115), (246, 119), (246, 124), (238, 127), (240, 128), (243, 130), (246, 130), (248, 130), (226, 108), (230, 109), (234, 109), (237, 111), (233, 111), (229, 110), (253, 115), (256, 116), (260, 117), (262, 118), (259, 118), (256, 117), (227, 135), (233, 133), (238, 133), (241, 134), (244, 135), (247, 137), (249, 140), (245, 143), (242, 144), (239, 143), (236, 142), (231, 140), (229, 135), (238, 136), (240, 137), (243, 138), (247, 140), (243, 139), (240, 139), (237, 138)]",0.026960372924804688,"[(204, 80, 74, 75)]"
my_images\3.jpg,dnn_frontol_face,dlib_facial_landmark,"[(204, 100), (203, 110), (202, 121), (202, 131), (205, 140), (211, 147), (218, 151), (226, 155), (234, 157), (240, 157), (246, 154), (251, 151), (255, 147), (259, 141), (261, 134), (262, 127), (264, 121), (219, 100), (226, 97), (233, 97), (239, 99), (245, 103), (253, 106), (258, 105), (262, 106), (265, 107), (266, 111), (248, 111), (248, 115), (248, 119), (247, 124), (237, 127), (240, 129), (243, 131), (246, 131), (249, 131), (225, 109), (230, 109), (234, 110), (236, 112), (233, 112), (229, 112), (251, 116), (255, 116), (258, 117), (260, 118), (258, 119), (255, 118), (228, 136), (234, 135), (239, 135), (241, 137), (244, 137), (246, 139), (248, 142), (244, 143), (242, 143), (239, 142), (236, 142), (232, 140), (230, 137), (238, 138), (240, 139), (243, 140), (246, 142), (243, 139), (240, 138), (237, 138)]",0.0029904842376708984,"[(204, 74, 68, 85)]"
my_images\3.jpg,dnn_frontol_face,cnn_facial_landmark,"[(207, 103), (206, 112), (205, 121), (206, 130), (208, 138), (213, 145), (220, 150), (227, 155), (235, 157), (243, 157), (250, 154), (256, 150), (261, 144), (265, 138), (269, 131), (271, 124), (273, 117), (220, 99), (226, 97), (232, 97), (238, 99), (244, 102), (255, 105), (260, 104), (264, 104), (269, 105), (271, 108), (248, 111), (248, 115), (247, 120), (247, 125), (238, 128), (241, 129), (244, 131), (247, 131), (250, 130), (226, 108), (230, 109), (234, 109), (237, 110), (233, 110), (229, 110), (254, 113), (258, 114), (261, 115), (264, 116), (260, 116), (257, 115), (227, 135), (234, 134), (239, 134), (242, 135), (245, 135), (249, 137), (251, 140), (247, 143), (243, 144), (240, 144), (237, 143), (232, 141), (229, 136), (239, 137), (242, 137), (245, 138), (249, 140), (244, 140), (241, 140), (238, 139)]",0.02789306640625,"[(204, 74, 68, 85)]"
my_images\4.jpg,mtcnn,dlib_facial_landmark,"[(306, 232), (307, 238), (308, 244), (310, 250), (314, 254), (318, 257), (324, 259), (329, 260), (334, 260), (337, 258), (339, 255), (340, 251), (341, 247), (341, 242), (341, 238), (341, 234), (340, 230), (313, 229), (316, 226), (321, 224), (325, 224), (329, 226), (334, 225), (336, 224), (338, 223), (341, 224), (342, 226), (332, 229), (333, 231), (334, 233), (335, 236), (329, 240), (331, 240), (333, 240), (335, 240), (336, 239), (318, 231), (321, 230), (323, 229), (325, 230), (323, 231), (321, 231), (334, 230), (336, 229), (338, 229), (339, 230), (338, 231), (336, 230), (325, 247), (329, 245), (331, 244), (333, 245), (335, 244), (337, 245), (338, 247), (337, 248), (336, 249), (334, 249), (332, 249), (329, 249), (327, 247), (331, 246), (333, 246), (335, 246), (337, 247), (335, 246), (333, 246), (332, 246)]",0.004015684127807617,"[(307, 211, 36, 47)]"
my_images\4.jpg,mtcnn,cnn_facial_landmark,"[(307, 232), (307, 237), (308, 242), (310, 247), (313, 251), (317, 254), (322, 256), (327, 258), (332, 258), (335, 257), (338, 254), (340, 250), (341, 247), (342, 243), (342, 239), (342, 235), (342, 231), (314, 227), (317, 225), (320, 224), (324, 224), (328, 225), (333, 225), (336, 224), (338, 223), (340, 224), (342, 225), (331, 228), (332, 231), (332, 233), (333, 236), (329, 240), (330, 240), (332, 241), (334, 240), (335, 239), (318, 230), (321, 229), (323, 229), (325, 230), (323, 230), (321, 231), (334, 229), (336, 228), (338, 228), (339, 229), (338, 230), (336, 230), (325, 247), (328, 245), (331, 244), (332, 244), (334, 244), (335, 245), (336, 247), (335, 248), (334, 249), (332, 250), (330, 250), (328, 249), (326, 247), (331, 246), (332, 246), (334, 246), (335, 247), (334, 247), (332, 247), (331, 247)]",0.02995157241821289,"[(307, 211, 36, 47)]"
my_images\4.jpg,haar_cascade,dlib_facial_landmark,"[(305, 234), (306, 239), (306, 245), (309, 249), (312, 253), (318, 255), (324, 257), (329, 258), (334, 258), (338, 257), (341, 254), (342, 250), (344, 247), (344, 243), (344, 238), (343, 234), (342, 230), (313, 229), (316, 226), (320, 224), (324, 224), (329, 225), (334, 225), (336, 224), (339, 223), (341, 223), (342, 225), (332, 229), (333, 231), (334, 233), (335, 236), (329, 240), (331, 240), (334, 241), (335, 240), (336, 239), (318, 231), (321, 229), (323, 229), (325, 231), (323, 231), (321, 231), (334, 230), (336, 229), (339, 229), (340, 230), (339, 231), (336, 231), (325, 247), (329, 246), (332, 245), (333, 245), (335, 244), (337, 245), (338, 247), (337, 248), (336, 249), (334, 250), (332, 250), (329, 249), (327, 247), (332, 246), (333, 246), (335, 246), (337, 246), (335, 246), (334, 247), (332, 246)]",0.003989219665527344,"[(308, 211, 47, 47)]"
my_images\4.jpg,haar_cascade,cnn_facial_landmark,"[(311, 234), (311, 239), (312, 243), (313, 247), (315, 251), (318, 254), (322, 257), (326, 258), (331, 259), (335, 258), (339, 256), (342, 253), (344, 250), (345, 246), (345, 241), (346, 237), (345, 232), (316, 227), (318, 225), (321, 224), (324, 224), (328, 225), (333, 224), (336, 223), (338, 223), (341, 223), (343, 225), (331, 229), (331, 231), (332, 233), (332, 236), (328, 240), (330, 240), (332, 240), (333, 240), (335, 240), (319, 231), (321, 229), (324, 229), (326, 230), (324, 231), (321, 231), (335, 230), (337, 228), (339, 228), (340, 229), (339, 230), (337, 230), (325, 247), (327, 245), (330, 244), (332, 244), (333, 244), (336, 245), (338, 246), (336, 248), (334, 249), (332, 249), (330, 249), (327, 249), (326, 247), (330, 246), (332, 246), (333, 246), (337, 246), (334, 247), (332, 247), (330, 247)]",0.025937318801879883,"[(308, 211, 47, 47)]"
